NAME	SHORT_NAME	WEBSITE	PHONE	EMAIL	INTAKE_URL	COUNTIES	PRIMARY_CHARGE_TAGS	SOURCE_URL	NOTES
Summit Defense	Summit Defense	https://summitdefense.com	(866) 847-7613		https://summitdefense.com/contact-us/	San Francisco; Santa Clara; Alameda; San Mateo; Contra Costa; Marin	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation; reckless driving	https://summitdefense.com/contact-us/	Official contact page; multi-office Bay Area criminal defense firm.
Lamano Law Office	Lamano Law	https://www.lamanolaw.com	(510) 842-0750		https://www.lamanolaw.com/contact/	Alameda; Contra Costa; Santa Clara; San Francisco	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation; reckless driving	https://www.lamanolaw.com/contact/	Official contact page with intake form.
The Nieves Law Firm	Nieves Law	https://thenieveslawfirm.com	(510) 879-7549		https://thenieveslawfirm.com/contact-us/	Alameda; Contra Costa; San Francisco; San Mateo	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation; reckless driving	https://thenieveslawfirm.com/contact-us/	Official contact page for Oakland criminal defense firm.
Law Office of Nabiel C. Ahmed	Nabiel Ahmed	https://www.nahmedlaw.com	(510) 271-0010		https://www.nahmedlaw.com/contact-us/	Alameda; Contra Costa; San Francisco	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.nahmedlaw.com/contact-us/	Official site/contact page.
Law Offices of Robert J. Beles	Beles & Beles	https://beleslaw.com	(510) 836-0100		https://beleslaw.com/	Alameda; Contra Costa; San Francisco	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://beleslaw.com/	Official site; contact information on homepage.
East Bay Defense	East Bay Defense	https://www.eastbaydefense.com	(510) 628-0596	alanna@eastbaydefense.com	https://www.eastbaydefense.com/contact-us/	Alameda; Contra Costa	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.eastbaydefense.com/contact-us/	Official contact page with email and form.
Vera Law Office	Vera Law	https://www.veralawoffice.com	(510) 561-9656	help@veralawoffice.com	https://www.veralawoffice.com/contact/	Alameda; Contra Costa; San Francisco	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.veralawoffice.com/contact/	Official contact page.
Silver Law Firm	Silver Law	https://www.esilverlaw.com	(510) 995-0000	advice@esilverlaw.com	https://www.esilverlaw.com/contact/	Alameda; Contra Costa; San Francisco	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.esilverlaw.com/contact/	Official contact page with email.
Demetrius Costy Law	Demetrius Costy	https://www.costylaw.com	(510) 254-3945		https://www.costylaw.com/	Alameda; Contra Costa	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.costylaw.com/	Official criminal defense site with contact form.
Law Office of Diego E. Ortiz	Diego Ortiz	https://www.diegoeortiz.com	(510) 654-4470	diego@diegoeortiz.com	https://www.diegoeortiz.com/contact	Alameda; Contra Costa; San Francisco	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; probation violation	https://www.diegoeortiz.com/contact	Official contact page.
Jayne Law Group	Jayne Law	https://www.jaynelaw.com	(415) 623-3600		https://www.jaynelaw.com/contact	San Francisco; Alameda; Contra Costa; San Mateo	DUI; domestic violence; assault; firearm; drug possession/sales; theft; robbery; burglary; white-collar/fraud; probation violation	https://www.jaynelaw.com/contact	Official contact page for SF criminal defense firm.
