FIRM_NAME	SHORT_NAME	CASE_NAME	JURISDICTION	COURT	DOCKET	DATE_FILED	OFFENSE_TAGS	ACTUAL_CHARGES	CONFIDENCE	ATTORNEY	DESCRIPTION	SOURCE_URL	SOURCE_TYPE
Summit Defense	summit-defense	Summit Defense case result - DUI charge dismissed	State/local firm-reported case result				dui	DUI after traffic stop and breath test	medium	Collin Moore	Client was charged with DUI after a traffic stop and breath test. Defense identified constitutional issues, filed a motion to suppress, the court granted the motion, and prosecutors dismissed the case.	https://summitdefense.com/case-results/	Firm public case-results page
Summit Defense	summit-defense	Summit Defense case result - DUI breath test refusal not guilty	State/local firm-reported case result				dui	DUI and refusal to submit to breath test	medium	Rabin Nabizadeh	Client was charged with DUI and refusing a breath test. After a six-day jury trial, the defense challenged procedures and evidence, and the jury returned a not-guilty verdict.	https://summitdefense.com/case-results/	Firm public case-results page
Summit Defense	summit-defense	Summit Defense case result - felony DUI serious injury probation	State/local firm-reported case result				dui	Felony DUI with serious injury enhancements	medium		Client faced felony DUI charges with serious injury enhancements and possible prison exposure. Negotiations focused on rehabilitation, resulting in probation and counseling instead of incarceration.	https://summitdefense.com/case-results/	Firm public case-results page
Summit Defense	summit-defense	Summit Defense case result - felony domestic violence and probation violation dismissed	State/local firm-reported case result				domestic-violence, probation-violation	Felony domestic violence and probation violation	medium	Collin Moore; Jim Riley	Client was charged with felony domestic violence and a probation violation. Targeted written motions limited witness testimony and weakened the prosecution case, leading to dismissal of all charges.	https://summitdefense.com/case-results/	Firm public case-results page
Summit Defense	summit-defense	Summit Defense case result - robbery and assault reduced	State/local firm-reported case result				robbery, assault	Robbery and assault after bar brawl	medium	Rabin Nabizadeh	Client was charged with robbery and assault after a bar brawl. The defense obtained a reduction to a single misdemeanor and avoided life imprisonment exposure described by the firm.	https://summitdefense.com/case-results/	Firm public case-results page
Summit Defense	summit-defense	Summit Defense case result - attempted murder probation	State/local firm-reported case result				murder, violent-crime	Three counts of attempted murder	medium	Jim Riley; Ryan McHugh	Client was charged with three counts of attempted murder while suffering from severe mental health delusions. Defense mitigation and negotiation led to probation with credit for time served, avoiding prison and strike convictions.	https://summitdefense.com/case-results/	Firm public case-results page
Summit Defense	summit-defense	Summit Defense case result - seven armed robberies probation	State/local firm-reported case result				robbery, firearm	Seven armed robbery allegations	medium		Client faced seven armed robbery allegations across multiple jurisdictions. Defense persuaded six counties not to file charges and weapon enhancements were dismissed at trial; client received probation and credit for time served.	https://summitdefense.com/case-results/	Firm public case-results page
Summit Defense	summit-defense	Summit Defense case result - embezzlement civil compromise	State/local firm-reported case result				embezzlement, theft, fraud	Embezzlement over $350,000 from employer	medium	Richard Weese	Client was accused of embezzling more than $350,000 from an employer. The matter resolved through civil compromise instead of criminal prosecution, avoiding a criminal conviction.	https://summitdefense.com/case-results/embezzlement-civil-compromise-no-criminal-conviction/	Firm public case-results page
Summit Defense	summit-defense	Summit Defense case result - 12 domestic violence counts dismissed	State/local firm-reported case result				domestic-violence	Twelve felony domestic violence charges	medium	Richard Weese; Rabin Nabizadeh	Client faced 12 felony domestic violence charges. Pretrial preparation and motion practice weakened the prosecution case; all charges were dismissed on the day of trial.	https://summitdefense.com/san-mateo-criminal-defense-attorney/	Firm public case-results page
Summit Defense	summit-defense	Summit Defense case result - firearm and drug sales charges dismissed	State/local firm-reported case result				firearm, drug-trafficking, cocaine	Possession of firearms and drugs with intent to sell	medium	Rabin Nabizadeh	Client was stopped for a traffic violation and accused of possessing cocaine, prescription drugs, and a loaded firearm with intent to sell. Defense challenged the search, evidence was suppressed, and all charges were dismissed.	https://summitdefense.com/case-results/possession-of-firearms-and-drugs-with-intent-to-sell-charges-dismissed/	Firm public case-results page
