NAME	SHORT_NAME	WEBSITE	PHONE
Alanna D. Coopersmith, Attorney at Law	alanna-d-coopersmith-attorney-at-law	https://www.eastbaydefense.com/	+15106280596
Andrian & Gallenson	andrian-gallenson	https://www.getyourcasefixed.com	(707) 527-9555
Angeli Law Group	angeli-law-group		
Angeli Law Group LLC	angeli-law-group-llc		
Arent Fox LLP	arent-fox-llp		
Arnold Law Firm	arnold-law-firm		
ASH Legal	ash-legal	https://ashlegal.com	(415) 890-1021
Baker and Hostetler LLP	baker-and-hostetler-llp		
Bay Area Criminal Lawyers PC	bacl-pc	https://www.bayareacrimlaw.com	(415) 552-1215
Beles and Beles Law Offices	beles-and-beles-law-offices		
Bergstrom & Bruce	bergstrom-bruce	https://www.bergstrom-bruce.com	(707) 927-7144
Boersch and Illovsky LLP	boersch-and-illovsky-llp		
Boro Law Firm	boro-law-firm		
BraunHagey and Borden LLP	braunhagey-and-borden-llp		
Brownstein Hyatt and Farber PC	brownstein-hyatt-and-farber-pc		
Bryan Cave Leighton Paisner LLP	bryan-cave-leighton-paisner-llp		
Calabria Law Group	calabria-law-group		
Cello & Maudru	cello-law	https://www.cellolaw.com	(650) 508-1536
Cindy A. Diamond, Attorney at Law	cindy-a-diamond-attorney-at-law		
Cohen Williams LLP	cohen-williams-llp		
Conrad Metlitzky Kane LLP	conrad-metlitzky-kane-llp	www.conmetkane.com	+14154691714
Cooley LLP	cooley-llp		
Corrigan Welbourn and Stokke APLC	corrigan-welbourn-and-stokke-aplc		
Covington and Burling LLP	covington-and-burling-llp		
Crowell and Moring LLP	crowell-and-moring-llp		
David M. Bigeleisen Law Office	david-m-bigeleisen-law-office	www.BigeleisenLaw.com	+14159571717
DefendCA	defendca	https://www.defendca.com	(650) 241-1214
Demetrius Costy Law	demetrius-costy-law	https://www.costylaw.com/	+15102543945
Dla Piper US LLP	dla-piper-us-llp		
Duane Morris LLP	duane-morris-llp		
Ehrlich & Craig LLP	ehrlich-and-craig-llp		
Emerick Law Offices	emerick-law	https://www.emericklawoffices.com	(707) 800-9529
Farella Braun and Martel LLP	farella-braun-and-martel-llp		
Farella Braun Martel LLP	farella-braun-martel-llp		
Farmer Brownstein Jaeger Siegel and Shepard LLP	farmer-brownstein-jaeger-siegel-and-shepard-llp		
Federal Defender Northern District of California, San Francisco	federal-defender-northern-district-of-california-san-francisco		
Federal Public Defender's Office, Oakland	federal-public-defender-oakland		
Federal Public Defender, Northern District of California	federal-public-defender-northern-district-of-california		
Fenwick and West LLP	fenwick-and-west-llp		
Findling Law Firm	findling-law-firm		
Gabriela Guraiib Law	gabriela-guraiib	https://www.guraiib.com	(650) 761-0148
Ginny Walia Law Offices	ginny-walia	https://www.walialaw.com	(925) 460-6200
Glenmorrie Law LLC	glenmorrie-law-llc		
Goodwin Procter LLP	goodwin-procter-llp		
Gorelick Law Offices	gorelick-law	https://www.gorelick-law.com	(925) 847-9000
Greenberg Traurig LLP	greenberg-traurig-llp		
Guyton Jinkerson	guyton-jinkerson	https://www.guytonjinkerson.lawyer/white-collar-crime/	+14088998171
Haley Giuliano LLP	haley-giuliano-llp		
Haynes and Boone, LLP	haynes-and-boone-llp		
Hwg LLP	hwg-llp		
Illovsky and Calia LLP	illovsky-and-calia-llp		
Illovsky Gates and Calia LLP	illovsky-gates-and-calia-llp		
J.P. Sheridan Law	j-p-sheridan-law		
Jackson Law	bethani-jackson-law	https://bethanijacksonlaw.com	(650) 249-1369
Jayne Law Group	jayne-law-group	http://www.bayarea-criminaldefense.com/	+14156233600
Jayne Law Group	jayne-law	https://www.jaynelaw.com	(415) 623-3600
Jayne Law Group, Jayne Law Group	jayne-law-group-jayne-law-group		
