NAME	SHORT_NAME	WEBSITE	PHONE	EMAIL	INTAKE_URL	COUNTIES	PRIMARY_CHARGE_TAGS	SOURCE_URL	NOTES
Mowry Law Group	mowry-law-group	https://www.mowrylawgroup.com/	+15105429355		https://www.mowrylawgroup.com/	San Francisco, Alameda, Santa Clara, Contra Costa, San Mateo	dui, reckless-driving, drug-trafficking, domestic-violence, theft, burglary, robbery, firearm, fraud, assault, probation-violation	https://www.mowrylawgroup.com/	Bay Area DUI, misdemeanor, felony, traffic, domestic violence, drug, robbery, gun, white-collar, and probation practice areas.
Summit Defense	summit-defense	https://summitdefense.com/	+14159130787		https://summitdefense.com/	San Francisco, Alameda, San Mateo, Contra Costa, Santa Clara, Marin	dui, domestic-violence, federal-crimes, drug-trafficking, firearm, theft, sex-crimes	https://summitdefense.com/	Large Northern California criminal defense firm with Bay Area offices and broad state/federal criminal practice.
Lamano Law Office	lamano-law-office	https://www.lamanolaw.com/	+15108420750		https://www.lamanolaw.com/contact-us-lamano-law/	Alameda, San Francisco, Contra Costa, Santa Clara	dui, domestic-violence, theft, drug-trafficking, assault, felony, misdemeanor	https://www.lamanolaw.com/contact-us-lamano-law/	Oakland-based Bay Area criminal defense firm with 24/7 contact form and offices in Oakland, Alameda, Walnut Creek, and San Jose.
Alanna D. Coopersmith, Attorney at Law	alanna-d-coopersmith-attorney-at-law	https://www.eastbaydefense.com/	+15106280596	alanna@eastbaydefense.com	https://www.eastbaydefense.com/	San Francisco, Alameda, Contra Costa, Solano	dui, domestic-violence, white-collar-crime, murder, federal-crimes	https://www.eastbaydefense.com/	East Bay Defense site lists state criminal, federal criminal, DUI, domestic violence, white-collar, and murder experience.
Knight Law	knight-law	https://knightjustice.com/	+14088776177	info@knightjustice.com	https://knightjustice.com/	Santa Clara, San Mateo, Santa Cruz, Bay Area	dui, domestic-violence, assault, homicide, burglary, theft, fraud, firearm, robbery, drug-trafficking, white-collar-crime	https://knightjustice.com/	San Jose criminal defense firm; source lists 24-hour contact, email, and broad charge categories.
The Pakneshan Firm	the-pakneshan-firm	https://baydefense.com/	+14152938454		https://baydefense.com/	Alameda, Contra Costa, San Francisco, Marin, Napa, Sonoma, Solano, Santa Clara, San Mateo	dui, drug-trafficking, domestic-violence, assault, violent-crime, federal-crimes	https://baydefense.com/	Bay Area criminal and DUI firm handling state, federal, and administrative matters.
Roberts | Elliott Law Corp	roberts-elliott-law-corp	https://www.robertsandelliott.com/	+14082759800		https://www.robertsandelliott.com/	Santa Clara, Bay Area	dui, domestic-violence, drug-trafficking, assault, theft, fraud, juvenile, traffic	https://www.robertsandelliott.com/	San Jose firm; source lists DUI, domestic violence, drug, assault, theft, fraud, juvenile, and traffic defense.
Perani Law	perani-law	https://peranilaw.com/	+14159961131		https://peranilaw.com/	Alameda, Contra Costa, Marin, San Francisco, Bay Area	dui, drug-trafficking, domestic-violence, assault, theft, reckless-driving, probation-violation	https://peranilaw.com/	Bay Area criminal defense practice listing alcohol offenses, drug possession/distribution, domestic violence, vehicle offenses, theft, DMV, and traffic.
Law Office of Allen C. Speare	law-office-of-allen-c-speare	https://www.allenspearelaw.com/	+14087951180	aspeare@att.net	https://www.allenspearelaw.com/	Santa Clara	dui, domestic-violence, drug-trafficking, traffic, felony, misdemeanor	https://www.allenspearelaw.com/	San Jose criminal defense, DUI/DWI, domestic violence, drug crimes, traffic, felonies and misdemeanors.
Law Office of John P. Campion	law-office-of-john-p-campion	https://www.jpcampionlaw.com/	+14154952009	jpcampionlaw@sbcglobal.net	https://www.jpcampionlaw.com/	San Francisco, Bay Area, California	dui, vehicular-manslaughter, domestic-violence, drug-trafficking, theft, white-collar-crime, embezzlement, sex-crimes	https://www.jpcampionlaw.com/	San Francisco criminal defense attorney handling state/federal felony and misdemeanor cases, DUI vehicular manslaughter, white collar, embezzlement, drug possession for sale, and domestic violence.
Law Office of E. Michael Linscheid	law-office-of-e-michael-linscheid	https://www.linscheidlaw.com/	+14157826002		https://www.linscheidlaw.com/	San Francisco, Alameda, Northern California	dui, drug-trafficking, fraud, theft, assault, domestic-violence, homicide, traffic	https://www.linscheidlaw.com/	San Francisco defense attorney site lists DUI, drug offenses, fraud, theft, assault, domestic violence, homicide, and federal/state court work.
Law Office of Javier Rios	law-office-of-javier-rios	https://sjdefender.com/	+14084784444	rios@sjdefender.com	https://sjdefender.com/	Santa Clara	dui, domestic-violence, assault, drug-trafficking, theft, homicide, sex-crimes	https://sjdefender.com/practice-areas/	San Jose criminal defense attorney; source lists DUI, domestic violence, sex charges, drug crimes, violent crimes and homicide, and theft charges.
Law Office of Adrienne Dell	law-office-of-adrienne-dell	https://www.delldefense.com/criminal-defense/	+14082172575		https://www.delldefense.com/criminal-defense/	Santa Clara	dui, domestic-violence, drug-trafficking, assault, violent-crime, gang-crime, juvenile	https://www.delldefense.com/criminal-defense/	San Jose criminal defense practice listing DUI, domestic violence, drug crimes, gang-related offenses, violent crimes, juvenile representation, and sentencing alternatives.
Law Office of Vijay Dinakar	law-office-of-vijay-dinakar	https://www.vijaylaw.com/	+14082752307	info@vijaylaw.com	https://www.vijaylaw.com/	Santa Clara	dui, domestic-violence, theft, violent-crime, immigration-consequences	https://www.vijaylaw.com/	San Jose criminal defense practice listing domestic violence, DUIs, theft crimes, serious/violent felonies, and immigration consequences.
Demetrius Costy Law	demetrius-costy-law	https://www.costylaw.com/	+15102543945		https://www.costylaw.com/	Alameda, Bay Area	dui, domestic-violence, drug-trafficking, sex-crimes, violent-crime	https://www.costylaw.com/	Oakland criminal defense attorney with 24/7 availability; source lists domestic violence, drug crimes, DUIs, sex crimes, and violent crimes.
Law Offices of Seth P. Chazin	law-offices-of-seth-p-chazin	https://www.bayarea-attorney.com/	+14152226188		https://www.bayarea-attorney.com/	San Francisco, Oakland, Berkeley, Albany, Bay Area	drug-trafficking, violent-crime, sex-crimes, federal-crimes, money-laundering, computer-fraud	https://www.bayarea-attorney.com/PracticeAreas/Federal-Crimes.asp	Federal and state criminal defense practice; source lists federal crimes and case-result categories including money laundering and computer fraud.
Law Office of William H. Kimball	law-office-of-william-h-kimball	https://www.wkimball.com/	+15107041400	wkimball@wkimball.com	https://www.wkimball.com/	Bay Area	insider-trading, securities-fraud, wire-fraud, fraud, white-collar-crime	https://www.wkimball.com/	Bay Area white-collar and securities defense practice for SEC/DOJ investigations, insider trading, complex economic crimes, and securities litigation defense.
Law Office of Jeremy D. Blank	law-office-of-jeremy-d-blank	https://www.jeremyblank.com/	+14157102728	jdb@jeremyblank.com	https://www.jeremyblank.com/	San Francisco, Bay Area	drug-trafficking, fraud, embezzlement, domestic-violence, assault, sex-crimes, vehicular-manslaughter, dui, robbery, burglary	https://www.jeremyblank.com/	San Francisco defense lawyer handling state/federal prosecutions, drug trafficking, embezzlement/fraud, domestic violence, assault, sex crimes, vehicular manslaughter, DUI, robbery, and burglary.
Morris Law PC	morris-law-pc	https://www.morrisdefense.com/	+15103300814		https://www.morrisdefense.com/	Alameda, Contra Costa, Solano, Santa Clara, Marin, San Francisco, Napa, Sonoma, San Mateo	dui, domestic-violence, drug-trafficking, firearm, violent-crime, murder, theft, federal-crimes	https://www.morrisdefense.com/	Oakland criminal defense firm serving all nine Bay Area counties; source lists drug, weapon, violent, domestic violence, DUI, federal, murder, theft, and felony cases.
The Nieves Law Firm	the-nieves-law-firm	https://thenieveslawfirm.com/	+15108797549		https://thenieveslawfirm.com/contact-us/	Alameda, San Francisco, Contra Costa, Marin, Solano, Santa Clara, Santa Cruz, San Joaquin, Sacramento, Napa, San Mateo	dui, domestic-violence, drug-trafficking, assault, fraud, firearm, gang-crime, juvenile, sex-crimes, restraining-order	https://thenieveslawfirm.com/contact-us/	Oakland/Bay Area criminal defense firm with consultation form; public resource list describes assault, domestic violence, drug, DUI, fraud, gang, gun, juvenile, restraining-order, and sex-crime practice.
Law Office of Andrew Cantor	law-office-of-andrew-cantor	https://www.cantor-law.com/white-collar-defense/	+14155005849	cantor.legal@gmail.com	https://www.cantor-law.com/white-collar-defense/	San Francisco, Bay Area	dui, white-collar-crime, fraud, wire-fraud, criminal-defense	https://www.cantor-law.com/white-collar-defense/	San Francisco firm listing criminal defense, DUI defense, and white-collar defense with 24/7 appointments.
Rien, Adams & Cox LLP	rien-adams-and-cox-llp	https://www.criminalaw.net/criminal-defense/weapons-gun-offenses/	+19254490666		https://www.criminalaw.net/criminal-defense/weapons-gun-offenses/	Oakland, San Francisco Bay Area, Alameda, Contra Costa	dui, firearm, drug-trafficking, assault, criminal-defense	https://www.criminalaw.net/criminal-defense/weapons-gun-offenses/	Oakland-area criminal defense firm; source page focuses on weapons/gun offenses and states broader criminal defense coverage.
Guyton Jinkerson	guyton-jinkerson	https://www.guytonjinkerson.lawyer/white-collar-crime/	+14088998171		https://www.guytonjinkerson.lawyer/white-collar-crime/	Santa Clara, San Francisco Bay Area	white-collar-crime, insider-trading, fraud, securities-fraud, wire-fraud	https://www.guytonjinkerson.lawyer/white-collar-crime/	San Jose white-collar criminal defense practice listing insider trading and state/federal white-collar defense.
Valery Nechay Law	valery-nechay-law	https://valerynechaylaw.com/criminal-defense/federal-criminal-lawyer/	+16504870671		https://valerynechaylaw.com/criminal-defense/federal-criminal-lawyer/	San Francisco, Bay Area	federal-crimes, fraud, drug-trafficking, firearm, white-collar-crime	https://valerynechaylaw.com/criminal-defense/federal-criminal-lawyer/	San Francisco federal criminal defense practice.
